CIVIL LABORATORY MACHINES / EQUIPMENT / INSTRUMENTS MASTERPLAN 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jan,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTICULARS,,,,,,,INVENTORY ,,,,,,,,,,,,PREVENTIVE MAINTENANCE,,,,,,,,,,,,CORRECTIVE MAINTENANCE,,,,,,,,,,,,CALLIBRATION,,,,,,,,,,,
Name of Machine / Equipment / Instrument,,Quantity,Date Aquired ,Serial No. ,Manual Code (0/1),Callibration Code (0/1),JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A) Frequently Used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B)  Moderately Used,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sand Cone Apparatus / Rubber Balloon Set Brand: ELE,1,8/19/2015,15-1 06 05 140-050,1,0,x,,,x,,,x,,,x,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
,"Compaction Mold for Concrete, Standard, steel (6”x12”),  Brand: ELE",5,8/19/2015,15-1 06 05 140-031 to4,0,0,x,,,x,,,x,,,x,,x,,,,,,,,,,,x,,,,,,,,,,,,, ,,,,,,,,,,,,
,"Cylindrical Mold 150mm diameter x 300mm long, complete with base plate and locking ring. ",6,8/19/2015,15-1 06 05 140-034 to5,,0,x,,,x,,,x,,,x,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
,Surveyor's compass ,7,8/19/2015,15-1 06 05 140-018 to 4,,1,x,,,x,,,x,,,x,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,
,"Beam molds, 6”x6”x21”, Brand: ELE",6,8/19/2015,15-1 06 05 140-028 to5,0,0,x,,,x,,,x,,,x,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C) Rarely Used ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ENGINEERS TRANSIT (Conventional),1,11/15/2013,14-233-004,0,1,x,,,x,,,x,,,x,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,x,
,"4” CBR Determination with Molds and     Capping Apparatus,  (brand: ELE)",1 set,8/19/2015,15-1 06 05 140-030,0,0,x,,,x,,,x,,,x,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Soil Permeability (Constant & Falling    Head Combined),1 set,8/19/2015,15-1 06 05 140-032,0,0,x,,,x,,,x,,,x,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,One -dimensional Consolidation   Test Apparatus,1 set,8/19/2015,15-1 06 05 140-033,1,1,x,,,x,,,x,,,x,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
,Deformation Indicator ,2,8/19/2015,15-1 06 05 140-036 to1,0,0,x,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Dessicator, 3 kg cap. Brand: Milton Brook",2,8/19/2015,15-1 06 05 140-037 to1,1,0,x,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Direct Shear testing machine, standard  ",1,8/19/2015,1885-2-1605,0,1,x,,,x,,,x,,,x,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x
,"Evaporating Dish, shallow form with spout, porcelain 200 x 55 mm nominal diameter x heightBrand: HALDEHWANGER",3,8/19/2015,15-1 06 05 140-039 to2,1,0,x,,,x,,,x,,,x,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Gillmore or Vicat apparatus Weight 200g. Brand: ELE,  Model Number: 80",3 set,8/19/2015,15-1 06 05 140-041 to2,1,1,x,,,x,,,x,,,x,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
,"Moisture content determination Apparatus Brand: ELE,  Model: CL201",1,8/19/2015,15-1 06 05 140-045,1,1,x,,,x,,,x,,,x,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,
,Penetration apparatus w/ Piston and Needles : Brand: ELE,1,8/19/2015,15-1 06 05 140-047,1,1,x,,,x,,,x,,,x,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
,Penetrometer for Asphalt (brand ELE),1,8/19/2015,15-1 06 05 140-048,0,1,x,,,x,,,x,,,x,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
,"Shrinkage Limit Apparatus  'Brand: ELE,   Model# S370-02",1,8/19/2015,15-1 06 05 140-053,0,0,x,,,x,,,x,,,x,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Soil Auger, 'Brand: ELE",3,8/19/2015,15-1 06 05 140-055 to2,,0,x,,,x,,,x,,,x,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Soil Hydrometer , Brand: ELE ( 151 H or 152 H ",3,8/19/2015,15-1 06 05 140-056 to2,0,1,x,,,x,,,x,,,x,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
,Soil Lathe -   Brand: ELE,1,8/19/2015,15-1 06 05 140-057,0,0,x,,,x,,,x,,,x,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
,Soil Extractor/Ejector for tube sample,2,8/19/2015,15-1 06 05 140-058,0,0,x,,,x,,,x,,,x,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
,Soil Extractor/Ejector for tube sample small,1,,,,,x,,,x,,,x,,,x,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
,Unconfined Compression Machine (ASTM D   2166 or equivalent ),1,8/19/2015,Serial nos: S221/AC/0013,1,1,x,,,x,,,x,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
,"Engineer’s Transit  'Brand: LOTUS, ' Model: TVT20E",4,8/19/2015,"10906, 10907, 1098, 1009",1,1,x,,,x,,,x,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
,Large Current Flow Meter Wading Set  Brand: VALEPORT,4,8/19/2015,"48540, 48538,48539, 48541, 48542 ",1,1,x,,,x,,,x,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
,Micrometer Sextant Brand: TAMAYA MARINET,4,8/19/2015,"14006, 14005, 140045, 14003",1,1,x,,,x,,,x,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
,Pycnometer (volumetric flask) cap. 50ml ,5,8/19/2015,15-1 06 05 140-012 to 4,0,1,x,,,x,,,x,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
,"Rubber Mallet,Soft Headed mallet. Weight",8,8/19/2015,15-1 06 05 140-014 to 7,0,0,x,,,x,,,x,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Depth Measuring Apparatus/25m long calibrated in meter,nylon rope, 6mm dia with anchor or weight, Model: DG30NI",10,8/19/2015,15-1 06 05 140-019 to 9,,1,x,,,x,,,x,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
,Electronics Digital Theodolite 56-DGT2,1,8/19/2015,13-233-002,0,1,x,,,x,,,x,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
,Spirit LEVEL (bubble level),8,,,,1,x,,,x,,,x,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D) Newly Acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E. Fix and Furniture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tables , Stainless Steel (size: 250cm x 60cm)",3,8/19/2015,15-1 06 07 010-056 to4,0,0,x,,,x,,,x,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Display Shelves, Glass cabinet,",3,8/19/2015,15-1 06 07 010-057 to2,0,0,x,,,x,,,x,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Chairs,Polypropylene seat and back, sled metal tube 5/8"", with rubber floor guide, seat size 18 1/2""W x 18 1/2"" D",25,8/19/2015,15-1 06 07 010-011 to 24,0,0,x,,,x,,,x,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Consumable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Remoulding Apparatus/Matls(plaster of paris, grease,etc)",1,8/19/2015,15-1 06 05 140-012 to 4,0,0,x,,,x,,,x,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prepared by:,,,Noted by: ,,,,,,,,,,,,Approved by: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MALOU DAG-UM,,,TITA BALBIN-ALBAY,,,,JESTONI ROSAL,,,HOLDEN CULTURA,,,,,DR. GINA C. LACANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Leader, CEA Laboratory Technician Team",,,"Head, Lab Technician Unit",,,,"Head, Callibration Unit",,,"Head, Repair & Maintenance Unit",,,,,"Director, LMO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
