No.,Manufacturer/Brand,Particular's/Name of MEI's,Type Model,QTY,Unit,Aquisition Aquired ,Serial/Product No. ,Price (Php),Condition Please Put (/),,User Manual Code (0/1),Callibration Code (0/1),Memorandum Receipt (Name of Person),JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,STATUS,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,STATUS,CALIBRATION FREQUENCY,DATE CALIBRATED,CALIBRATION DUE ,CERTIFICATE NO.,TRACEABILITY,TYPE OF CALIBRATION,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,REMARKS / STATUS
,,,,,,,,,Functional,Non-Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A) Frequently Used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.11,SANWA,ANALOG MULTIMETER,YX360TRF,1,PC,08/20/2015,14011306345,"P1,998",/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated/ Request to be added to the next calibration schedule
5.12,SANWA,ANALOG MULTIMETER,YX360TRF,1,PC,08/20/2015,14011306342,"P1,998",,/,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated/ Request to be added to the next calibration schedule
5.13,SANWA,ANALOG MULTIMETER,YX360TRF,1,PC,08/20/2015,14011306338,"P1,998",,/,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated/ Request to be added to the next calibration schedule
5.14,SANWA,ANALOG MULTIMETER,YX360TRF,1,PC,08/20/2015,14011306336,"P1,998",,/,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated/ Request to be added to the next calibration schedule
5.15,SANWA,ANALOG MULTIMETER,YX360TRF,1,PC,08/20/2015,14011306337,"P1,998",,/,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated/ Request to be added to the next calibration schedule
5.16,SANWA,ANALOG MULTIMETER,YX360TRF,1,PC,08/20/2015,13120401446,"P1,998",,/,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated/ Request to be added to the next calibration schedule
,EDIBON,DC POWER SUPPLY,FA-CO,1,SET,08/20/2015,M150309/12,P43000,/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated/ Request to be added to the next calibration schedule
,EDIBON,DC POWER SUPPLY,FA-CO,1,SET,08/20/2015,M150310/12,P43000,/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated/ Request to be added to the next calibration schedule
,EDIBON,DC POWER SUPPLY,FA-CO,1,SET,08/20/2015,M150311/12,P43000,/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated/ Request to be added to the next calibration schedule
,EDIBON,DC POWER SUPPLY,FA-CO,1,SET,08/20/2015,M150312/12,P43000,/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated/ Request to be added to the next calibration schedule
