No.,Manufacturer/Brand,Particular's/Name of MEI's,Type Model,QTY,Unit,Aquisition Aquired ,Serial/Product No. ,Price (Php),Condition Please Put (/),,"Status (Inactive, Active, Defective)",User Manual Code (0/1),Callibration Code (0/1),Memorandum Receipt (Name of Person),JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,STATUS,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,STATUS,CALIBRATION FREQUENCY,DATE CALIBRATED,CALIBRATION DUE ,CERTIFICATE NO.,TRACEABILITY,TYPE OF CALIBRATION,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,REMARKS / STATUS
,,,,,,,,,Functional,Non-Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A) Frequently Used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FESTO,Automation Suite for Robot and Mechatronics System and Handling Station,,,,"March 10, 2015",15-06 05 030-013,"P 4,339,000.00",/,,Active,1,1,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,Instrumentation and Process Control Compact Workstation,,,,"March 10, 2015",15-06 05 030-006A,"P 1, 799, 500.00",/,,Active,1,1,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated
,FESTO,Instrumentation and Process Control Compact Workstation,,,,"March 10, 2015",15-06 05 030-006,"P 1, 799, 500.00",/,,Active,1,1,Engr. Camilo Jose Salvaña,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated
,Planet Air,Compressor: Silent type,,,,"March 10, 2015",000936386,"P 5,299,000.00 (Part of)",/,,Active,1,1,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated
,Planet Air,Compressor: Silent type,,,,"March 10, 2015",0093684,,/,,Active,1,1,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated
,Planet Air,Compressor: Silent type,,,,"March 10, 2015",000936385,,/,,Active,1,1,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated
,Planet Air,Compressor: Silent type,,,,"March 10, 2015",000936388,,/,,Active,1,1,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated
,Planet Air,Compressor: Silent type,,,,"March 10, 2015",000936383,,/,,Active,,1,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated
,,Sensors for object detection,,,,,15-06 05 030-015,"P 1, 809, 000.00 (Part of)",,,,,,,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FESTO,"Proximity sensor, magneto-resistive",,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,"Proximity sensor, inductive M12",,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,"Proximity sensor, inductive M18",,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,"One-way light barrier, receiver",,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,"One-way light barrier, transmitter",,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,Fibre-optic unit,,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,Fibre-optic cable,,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,"Reflector (triple mirror), 20mm",,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,Diffuse sensor w/ background suppression,,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,Slide unit,,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,Set of Test Objects,,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,Basic Pneumatics Package ,,,,,,,,,,,,,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,"3/2 way valve w/ PB actuator, NC",,,,"March 10, 2015",,"P 704, 000.00",/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,"3/2 way valve w/ PB actuator,",,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,5/2 way valve w/ selector switch,,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,"3/2 way valve w/selector switch,normally closed",,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,"3/2 way roller lever valve, normally closed",,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,"Proximity switch, pneumatic w/cylinder attachment",,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,"Pneumatic timer, normally closed ",,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,Pressure sequence valve ,,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,"3/2 way pneumatic valve, pneumatically actuated, one side ",,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,"5/2 way valve, pneumatically actuated, one side ",,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,"5/2 way double pilot valve, pneumatically actuated, both sides",,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,Shuttle valve (OR) ,,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,Dual-pressure valve (AND),,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,Quick exhaust valve,,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,One-way flow control valve,,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,Single-acting cylinder ,,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,Double-acting cylinder ,,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,Start-up valve w/ filter control valve  ,,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,Pressure regulator valve with pressure gauge,,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,Manifold,,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,Basic Electro-Pneumatics ,,,,,,,,,,,,,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,"Signal input, electric ",,,,"March 10, 2015",,"P 1, 299, 000.00",/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,"Relay, Three fold",,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,"Limit switch, electrical, right-actuated ",,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,"Limit switch, electrical, left-actuated ",,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,"Proximity sensor, optical, M12 ",,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,Electronic proximity sensor w/ cylinder attachment,,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,"2x3/2 way solenoid valve w/ LED, NC ",,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,5/2 way solenoid valve w/ LED ,,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,5/2 way double solenoid valve w/ LED ,,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,Pressure sensor w/ display ,,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not calibrated
,FESTO,One-way flow control valve,,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,Single-acting cylinder,,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,Double-acting cylinder ,,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,Start-up valve w/ filter control valve ,,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,Manifold ,,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
