,ELECTRICAL MACHINES AND MOTOR CONTROL LABORATORY BUILIDNG 44 & ROOM 204,,,,,,,,,,,,,,,C - Complete,,,,,,INC - Incomplete,,,,,,X - Schedule,,,,,,,,P - Performed,,,,,X - Schedule,,,,,,,,P - Performed,,,,,X - Next Calibration,,,,,,,,,,,,,,,,,,
,MACHINES/EQUIPMENT/INSTRUMENTS (MEI'S) MASTER PLAN FY 2024,,,,,,,,,,,,,,,X - Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P - Performed,,,,,,,,,,,,,,,,,,
No.,No. CODING,Manufacturer/Brand,Particular's/Name of MEI's,Type Model,QTY,Unit,Aquisition Aquired ,Serial/Product No. ,Price (Php),Condition Please Put (/),,"Status (Inactive, Active, Defective)",User Manual Code (0/1),Callibration Code (0/1),Memorandum Receipt (Name of Person),JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,STATUS,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,STATUS,CALIBRATION FREQUENCY,DATE CALIBRATED,CALIBRATION DUE ,CERTIFICATE NO.,TRACEABILITY,TYPE OF CALIBRATION,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,REMARKS / STATUS
,,,,,,,,,,Functional,Non-Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A) Frequently Used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,10,,MODULE WITH 3 FUSE-HOLDERS AND POWER FUSES,,1,,8/20/2015,,,/,,ACTIVE,1,0,,C,,,,C,,,,x,,,,,P,,,,x,,,,x,,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
16,11,,CAPACITIVE LOAD (CUSTOM MADE),,1,,8/20/2015,,,/,,ACTIVE,1,0,,C,,,,C,,,,x,,,,,P,,,,x,,,,x,,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
17,12,,SYCHRONIZATION RELAY,,1,,8/20/2015,,,/,,ACTIVE,1,0,,C,,,,C,,,,x,,,,,P,,,,x,,,,x,,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
18,13,,FREQUENCY VARIATOR,,1,,8/20/2015,,,,/,INACTIVE,1,0,,INC,,,,INC,,,,x,,,,,P,,,,x,,,,x,,,NOT FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
19,14,,MODULAR TRAINER (AC MOTORS),,1,,8/20/2015,AEL-A120002/14 ,1999000,/,,ACTIVE,1,0,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
20,15,,INDUSTRIAL MAIN POWER SUPPLY,,1,,8/20/2015,,,/,,ACTIVE,1,0,,C,,,,C,,,,x,,,,,P,,,,x,,,,x,,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
21,16,,VARIABLE  POWER SUPPLY,,1,,8/20/2015,,,/,,ACTIVE,1,0,,C,,,,C,,,,x,,,,,P,,,,x,,,,x,,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
22,17,,3 DOUBLE CHAMBER PUSH-BUTTONS,,2,,8/20/2015,,,/,,ACTIVE,1,0,,C,,,,C,,,,x,,,,,P,,,,x,,,,x,,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
23,17.1,,3 DOUBLE CHAMBER PUSH-BUTTONS,,,,8/20/2015,,,/,,ACTIVE,1,0,,C,,,,C,,,,x,,,,,P,,,,x,,,,x,,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
24,18,,AUXILIARY LAMPS,,1,,8/20/2015,,,/,,ACTIVE,1,0,,C,,,,C,,,,x,,,,,P,,,,x,,,,x,,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
25,19,,3-POLES CONTRACTOR (24Vac),,4,,8/20/2015,,,/,,ACTIVE,1,0,,C,,,,C,,,,x,,,,,P,,,,x,,,,x,,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
26,19.1,,3-POLES CONTRACTOR (24Vac),,,,8/20/2015,,,/,,ACTIVE,1,0,,C,,,,C,,,,x,,,,,P,,,,x,,,,x,,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
27,19.2,,3-POLES CONTRACTOR (24Vac),,,,8/20/2015,,,/,,ACTIVE,1,0,,C,,,,C,,,,x,,,,,P,,,,x,,,,x,,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
28,19.3,,3-POLES CONTRACTOR (24Vac),,,,8/20/2015,,,/,,ACTIVE,1,0,,C,,,,C,,,,x,,,,,P,,,,x,,,,x,,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
29,20,,THERMAL RELAY,,2,,8/20/2015,,,/,,ACTIVE,1,0,,C,,,,C,,,,x,,,,,P,,,,x,,,,x,,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
30,20.1,,THERMAL RELAY,,,,8/20/2015,,,/,,ACTIVE,1,0,,C,,,,C,,,,x,,,,,P,,,,x,,,,x,,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
31,21,,MODULE WITH DISJUNCTOR,,1,,8/20/2015,,,/,,ACTIVE,1,0,,C,,,,C,,,,x,,,,,P,,,,x,,,,x,,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
32,22,,"4-POLE MAGNETO-THERMAL AUTOMATIC SWITCH 4A,CURVE C",,1,,8/20/2015,,,/,,ACTIVE,1,0,,C,,,,C,,,,x,,,,,P,,,,x,,,,x,,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
33,23,,MODULE WITH 3 FUSE-HOLDERS AND POWER FUSES,,1,,8/20/2015,,,/,,ACTIVE,1,0,,C,,,,C,,,,x,,,,,P,,,,x,,,,x,,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
34,24,,CAPACITIVE LOAD (CUSTOM MADE),,1,,8/20/2015,,,/,,ACTIVE,1,0,,C,,,,C,,,,x,,,,,P,,,,x,,,,x,,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
35,25,,SYCHRONIZATION RELAY,,1,,8/20/2015,,,/,,ACTIVE,1,0,,C,,,,C,,,,x,,,,,P,,,,x,,,,x,,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
36,26,,FREQUENCY VARIATOR,,1,,8/20/2015,,,/,,ACTIVE,1,0,,C,,,,C,,,,x,,,,,P,,,,x,,,,x,,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
37,27,,MODULAR TRAINER FOR ELECTRONICS (COMPLETE OPTION),,1,,8/20/2015,AEL-AI130001/14 ,1999000,,/,ACTIVE,1,0,,INC,,,,INC,,,,x,,,,,P,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
38,28,,ELECTROMAGNETISM KITS WITH GROUP OF MOTOR/GENERATOR,,1,,8/20/2015,,,,/,INACTIVE,1,0,,INC,,,,INC,,,,x,,,,,P,,,,x,,,,x,,,NOT FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
39,29,,RELAYS MODULE,,1,,8/20/2015,,,/,,ACTIVE,1,0,,C,,,,C,,,,x,,,,,P,,,,x,,,,x,,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
40,30,,LIGHTING MODULE,,1,,8/20/2015,,,/,,ACTIVE,1,0,,C,,,,C,,,,x,,,,,P,,,,x,,,,x,,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
41,31,,INDUCTANCES MODULE,,1,,8/20/2015,,,/,,ACTIVE,1,0,,C,,,,C,,,,x,,,,,P,,,,x,,,,x,,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
42,32,,CAPACITORS MODULE,,1,,8/20/2015,,,/,,ACTIVE,1,0,,C,,,,C,,,,x,,,,,P,,,,x,,,,x,,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
43,33,,RECTIFIER DIODES MODULE,,1,,8/20/2015,,,/,,ACTIVE,1,0,,C,,,,C,,,,x,,,,,P,,,,x,,,,x,,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
44,34,,RESISTIVE COMPONENTS MODULE,,1,,8/20/2015,,,/,,ACTIVE,1,0,,C,,,,C,,,,x,,,,,P,,,,x,,,,x,,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
45,35,,INDUSTRIAL MAIN POWER SUPPLY,,1,,8/20/2015,,,/,,ACTIVE,1,0,,C,,,,C,,,,x,,,,,P,,,,x,,,,x,,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
46,36,,POWER SUPPLY MODULE,,1,,8/20/2015,,,/,,ACTIVE,1,0,,C,,,,C,,,,x,,,,,P,,,,x,,,,x,,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
47,37,,FLUORESCENT LAMP,,1,,8/20/2015,,,/,,ACTIVE,1,0,,INC,,,,INC,,,,x,,,,,P,,,,x,,,,x,,,NOT FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
48,38,,DIGITAL MULTIMETER,,0,,8/20/2015,,,,/,INACTIVE,1,0,,INC,,,,INC,,,,x,,,,,P,,,,x,,,,x,,,NOT FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
49,39,,MODULAR TRAINER FOR ELECTRONICS (COMPLETE OPTION),,1,,8/20/2015,AEL-AI130002/14 ,1999000,/,,INACTIVE,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
